cluster,size,label_guess,top_terms,top_sources,top_locations,top_titles
21,4575,Data / Tech (mix),"une, equipe, missions, nos, vos, transformation, clients, sein, projets, gestion, developpement, aux, poste, client, cadre, recherche, vos missions, direction, mission, charge","adzuna:4015, france_travail:560","Paris, Ile-de-France:541, France:294, La Défense, Courbevoie:66","OPÉRATEUR DE 1ÈRE TRANSFORMATION DES MÉTAUX (INDUSTRIE MÉTALLURGIQUE) (F/H):41, Opérateur de 1Ère Transformation des Métaux Industrie Métallurgique H/F:22, Data Analyst H/F:18"
10,4503,Stats / Quant,"plus, une, ai, nos, data, groupe, france, team, clients, sommes, description, conseil, entreprise, collaborateurs, services, leader, solutions, business, mission, expertise","adzuna:4474, france_travail:29","Paris, Ile-de-France:1190, France:553, 8ème Arrondissement, Paris:108","Data Engineer H/F:37, Conseiller Financier Indépendant Crédit - Assurance H/F:27, Electricien/Electricienne basse tension:26"
24,2444,Data Engineer / ETL,"data, donnees, une, equipe, engineer, data engineer, bi, equipes, analyst, nos, projets, missions, analyse, clients, solutions, metiers, data analyst, concevoir, pipelines, tant","adzuna:2107, france_travail:337","Paris, Ile-de-France:462, France:139, Rhône, Auvergne-Rhône-Alpes:66","Data Engineer H/F:95, Data Analyst H/F:47, Data Analyst – Risques & Crédit H/F:38"
9,1219,ML / IA,"ia, artificielle, intelligence artificielle, intelligence, une, data, eacute, solutions, modeles, projets, developpement, learning, generative, nos, llm, equipe, data ia, ia generative, solutions ia, sein","adzuna:1085, france_travail:134","Paris, Ile-de-France:277, France:58, 8ème Arrondissement, Paris:31","Ingénieur IA H/F:18, Engineer H/F:14, Business developer H/F:14"
17,889,Stats / Quant,"emploi, offres, app, cv, salaire, profil, offre, data, recruteur, stage, postulez, premiers, alertes, parametres, telechargez, vus, deconnexion, telechargez app, vus candidatures, profil parametres",hellowork:889,"F Carrefour Massy - 91:12, F aivancity Nice Centre de formation Nice - 06:8, F CMA CGM Marseille - 13:7","Consultant Stagiaire - Data Analyst H/F BDO:4, Data Scientist H/F Team.is:3, Data Analyst Alternance H/F DSTI School of Engineering:3"
2,845,ML / IA,"groupeactive, tpe pme, tpe, pme, choisissant groupeactive, rejoignez groupeactive, encadre pairs, entrepreneurial encadre, beneficiaires modele, dynamiser carriere, optez projet, groupeactive optez, carriere choisissant, souhaitez dynamiser, soutenu collectif, projet entrepreneurial, experimentes soutenu, passionnes beneficiaires, pairs experimentes, unique rejoignez",adzuna:845,"Côte-d'Or, Bourgogne-Franche-Comté:9, Hautes-Alpes, Provence-Alpes-Côte d'Azur:9, Levallois-Perret, Nanterre:9","Directeur Commercial Indépendant H/F:69, Directeur des Ressources Humaines Indépendant H/F:66, Directeur des Opérations Indépendant H/F:56"
1,724,Data / Tech (mix),"salaire, offres, salaire brut, app, brut, cv, emploi, data, profil, offre, cette, mois heure, heure, mois, postulez premiers, cv vus, telechargez, telechargez app, vus candidatures, parametres deconnexion",hellowork:724,"F Mistral AI Paris - 75:31, F Artefact Paris 9e - 75:24, F Keyrus france Levallois-Perret - 92:12","Data Engineer H/F Ippon Technologies:6, Data Engineer Dbt H/F CGI:4, Data Engineer - Niji H/F Niji:4"
7,548,Stats / Quant,"medical, appel, appel medical, sante, vos, transformer, nos, tant, vos cotes, pret transformer, etablissement, aimez, cotes, tant qu, avons, pret, chez appel, transformer vies, vies, nos clients",adzuna:548,"Paris, Ile-de-France:56, 1er Arrondissement, Paris:22, Gironde, Nouvelle-Aquitaine:13","AIDE SOIGNANT (F/H):58, INFIRMIER DE (F/H):49, MÉDECIN GÉNÉRALISTE (F/H):32"
3,311,Stats / Quant,"plus, euros recherche, securite aeronautique, confiance thales, thales leader, pres milliards, ensemble avenir, mondial hautes, construisons ensemble, hautes technologies, domaines cles, hautes, investit pres, contribuent monde, trois secteurs, specialise trois, inclusif groupe, technologies specialise, activite defense, groupe investit",adzuna:311,"France:49, Vélizy-Villacoublay, Versailles:36, Brest, Finistère:29","STAGE - Ingénieur Automatisation des tests IHM par IA générative - F/H:4, Data Engineer GCP (H/F):4, Ingénieur Etudes Amonts - Algorithmie et Acoustique Sous-Marine (F/H):4"
6,226,Stats / Quant,"plus, entite rattachement, cea, generales entite, rattachement, entite, informations generales, generales, defense, transition, offre informations, informations, domaines, rattachement safran, contribuer durablement, durablement monde, aerien devient, plus transport, devient toujours, defense mission",adzuna:226,"France:90, Saclay, Palaiseau:22, Grenoble, Isère:22","Ingnieur-e - Data Scientist fabrication additive F/H:4, STAGE - Data Scientist F/H:3, Technical leader Data scientist F/H:3"
5,174,Data / Tech (mix),"medecin, recruitmentprofession recherchee, rc human, human recruitmentprofession, societe rc, recruitmentprofession, recherchee, rc, soins, recherchee medecin, human, proche, localisation proche, localisation, temps, medecin generaliste, negocieretablissement, generaliste, contrat, etablissement",adzuna:174,"France:28, Toulouse, Haute-Garonne:6, Brénod, Nantua:5","Aide-Soignant ou AMP en EHPAD H/F:9, Aide-Soignant ou AMP en EHPAD CDD & Vacations H/F:5, MEDECIN GENERALISTE (H/F) - CLINIQUE PSYCHIATRIQUE (13):3"
15,174,BI / Reporting,"externatic, esn, entreprises, recrutement, ans, reseau acceder, cybersecurite voir, voir jour, externatic ers, ers cabinets, externatic bref, ers, france credo, esn externatic, entreprises esn, entreprises finales, externalise entreprises, ans professionnalisme, bref ans, ans externatic",adzuna:174,"Loire-Atlantique, Pays de la Loire:49, Angers-Est, Angers:8, Cholet 1er Canton, Cholet:6","Technicien(ne) itinérant(e) contrôle d’accès H/F:4, Rssi - H/F:3, Ingénieur Infrastructure - Avant-Vente H/F:3"
8,157,Stats / Quant,"date, fonctionnaires, obligatoires, date debut, categorie, date limite, debut, limite, reference, informations generales, generales, diffusion, fonction, informations, diffusion date, titulaires, generales reference, trois, reference date, requis postuler",adzuna:157,"France:32, Montreuil, Bobigny:17, Loire-Atlantique, Pays de la Loire:13","IFIP / ATT - BSI3 - Concepteur Medoc DB – H/F:4, IFIP/ATT - BSI6 - Analyste MOE H/F:3, IFIP / ATT - Chargé(e) de projets - Responsable Intégration Applicative - ESI Poitiers H/F:2"
4,140,BI / Reporting,"intelligence, conseil, digital, performance, competitivite entreprises, transformation expertise, une success, ajoutee accroitre, story data, success story, mission projets, ans conseil, faciliter accelerer, digital mission, performance competitivite, trois domaines, analytics intelligence, entreprises faciliter, innovantes autour, intelligence big",adzuna:140,"Levallois-Perret, Nanterre:62, Issy-les-Moulineaux, Boulogne-Billancourt:26, Aix en Provence Sud-Ouest, Aix-en-Provence:17","Data Scientist - Keyrus France H/F:5, Cloud Data Engineer - Keyrus France H/F:5, Consultant Talend - Keyrus France H/F:5"
22,140,BI / Reporting,"steria, sopra steria, sopra, es, description entreprise, grandes, reconnu activites, activites conseil, entreprise sopra, une, conseil, conseil services, majeur tech, tech europe, steria acteur, clients mener, mener transformation, obtenir benefices, reponse globale, enjeux competitivite","adzuna:122, france_travail:18","Hauts-de-Seine, Ile-de-France:60, Paris, Ile-de-France:9, Loire-Atlantique, Pays de la Loire:8","Data Engineer PySpark - Data Factory - Services Financiers - Ile de France (H/F):5, Business Analyst Data - Services Financiers - Ile-de-France (H/F):2, Data Engineer - Transport - Nantes:2"
16,139,Data / Tech (mix),"credit, credit agricole, agricole, financement, groupe, groupe credit, klanik, magasin, vente, leurs projets, entite rejoignez, leurs, banque, projets, generales entite, une, finance responsable, entite, groupe klanik, financement investissement","adzuna:137, france_travail:2","France:58, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur:19, Massy, Palaiseau:8","Conseiller de Vente H/F:14, Tech Lead IA H/F:14, Chef de Projet IA H/F:5"
19,139,BI / Reporting,"mobility, job, global, meta, anglais, valeo, people, breakthrough, company, automotive, partner, emissions leader, global innovative, automakers new, company designing, mobility thanks, actors worldwide, businesses recognized, breakthrough solutions, designing breakthrough",adzuna:139,"Paris, Ile-de-France:64, France:42, Val-de-Marne, Ile-de-France:10","Accelerator Data Science (Paris):7, Accelerator Data Science Paris H/F:6, Research Scientist Intern, RL and Agents Team (MSc):5"
20,120,Stats / Quant,"thales, plus, avenir, ensemble imaginer, renommee thales, moteur derriere, thales sommes, contribuent construire, derriere technologie, chez thales, confiance technologies, inclusif avenir, nulle intelligence, vert plus, nulle, ne viennent, viennent nulle, thales projets, humaine moteur, technologie renommee",adzuna:120,"France:36, Vélizy-Villacoublay, Versailles:17, Loiret, Centre:7","Architecte Système Moyens de Tests (F/H) (CDI):4, STAGE - Ingénieur optimisation de code par IA H/F (CDI):3, Ingénieur réseaux et sécurité F/H (CDI):2"
18,115,ML / IA,"ai, mistral, designed, life, time enhance, learning creativity, ai believe, models products, seamlessly daily, designed integrate, life democratize, working life, tasks save, comprehensive ai, creativity technology, simplify tasks, ai simplify, technology designed, edge models, source cutting",adzuna:115,"Paris, Ile-de-France:71, 1er Arrondissement, Paris:39, France:2","Applied Ai Senior - Staff Forward Deployed Machine Learning Engineer - EMEA H/F:6, Applied ai Engineer Prototyping H/F:5, Applied Ai Technical Lead Forward Deployed ai Engineer - EMEA H/F:4"
13,106,BI / Reporting,"usagers, autonomie assurez, responsabilite autonomie, priorite donnee, une priorite, donnee quant, assurez transport, transport accompagnement, quant securite, lundi, securite usagers, usagers respect, priorite, respect code, code route, route ponctualite, vendredi, assurez, ponctualite, ponctualite conduite",adzuna:106,"Vienne, Nouvelle-Aquitaine:5, Blanzac-Porcheresse, Angoulême:4, Bierné, Château-Gontier:3","Conducteur-accompagnateur (H/F):26, CDD Conducteur-accompagnateur (H/F):16, CONDUCTEUR-ACCOMPAGNATEUR () H/F:13"
23,101,BI / Reporting,"prets immobiliers, courtier prets, courtier, immobiliers, prets, entreprise autonome, arretez cette, clients acquereurs, entreprendre seul, enseigne mission, carriere souhaitez, souhaitez entreprendre, autonome ambitieux, statut independant, business beneficiant, soutien enseigne, immobiliers veritable, immobiliers statut, suite carriere, seul arretez",adzuna:101,"Paris, Ile-de-France:7, Rangueuil, Toulouse:3, Bergerac 1er Canton, Bergerac:2","Courtier Mandataire en Prêts Immobiliers Ouest-Nord 76 H/F:2, Courtier Mandataire en Prêts Immobiliers Ouest-Nord 29 H/F:2, Courtier Mandataire en Prêts Immobiliers Arras 62 H/F:1"
0,85,Stats / Quant,"commencait, une, stage, valider diplome, aventure, permettant valider, annee, monde, cesure permettant, job description, cesure, vos, une annee, annee cesure, aventure commencait, valider, ailes aventure, vos ailes, ailes, envie deployer",adzuna:85,"Paris, Ile-de-France:18, Toulouse, Haute-Garonne:16, Colombes, Nanterre:8","Machine Learning Engineer confirm - IBM Client Innovation Center - H/F:8, Stage de Recherche en IA / NLP - (All Gender):6, CDI - Data Architect H/F:5"
14,75,Stats / Quant,"pme, developpement commercial, tpe pme, tpe, croissance economie, cible representant, france pme, economie face, pme coeur, economique francais, pme moteur, defis notamment, face nombreux, plus tpe, moteur croissance, francais compose, representant entreprises, coeur cible, tissu economique, compose plus",adzuna:75,"Lot, Occitanie:2, Seine-Maritime, Normandie:2, Moselle, Grand-Est:2","Directeur commercial indépendant H/F (Franchises):43, Directeur administratif financier indépendant H/F (Franchises):32"
11,63,BI / Reporting,"hui demain, capgemini invent, capgemini, nos, invent, chez norauto, norauto, demain, tant consultants, combinons nos, innovation moteur, scientifiques collaborant, creatives scientifiques, moteur changement, etroitement nos, chez capgemini, nos capacites, consultants transformation, capacites strategiques, strategiques creatives",adzuna:63,"Issy-les-Moulineaux, Boulogne-Billancourt:26, Paris, Ile-de-France:7, France:5","Responsable Atelier Adjoint H/F:14, Responsable Atelier H/F:8, Director Supply Chain Strategy & Transformation – Paris:3"
12,48,Stats / Quant,"ve active, clients digital, insurance retail, transport banking, utilities transport, ai infra, including human, projects years, firm supports, active diverse, resources energy, recognized entrepreneurial, sectors areas, key clients, cybersecurity data, public services, telecoms marketing, services cybersecurity, media telecoms, entrepreneurial approach",adzuna:48,"France:43, Lyon, Rhône:4, Nantes, Loire-Atlantique:1","Data Engineer / Data Analyst (H/F):1, Junior Consultant - Brussels M/F:1, Consultant en transformation numérique - Transition/Efficacité énergétique H/F:1"
