cluster_id,cluster_label,n_docs,top_terms
0,Data Analyst / BI,85,"vous, stage, monde, carrière, aventure, si, job, description, commençait, année, entreprise, recherche, plus, diplôme, permettant, valider, est, chez, que, césure"
1,Data Engineer,724,"mon, mes, data, salaire, offres, emploi, app, cv, brut, profil, offre, est, vous, données, mois, heure, postulez, premiers, espace, alertes"
2,Data Scientist / ML,845,"groupeactive, vous, par, pme, tpe, réseau, stratégie, êtes, expert, souhaitez, dynamiser, carrière, choisissant, optez, projet, entrepreneurial, encadré, pairs, expérimentés, soutenu"
3,Cloud / DevOps Data,311,"plus, construisons, ensemble, avenir, confiance, thales, est, leader, mondial, hautes, technologies, défense, sécurité, aéronautique, spatial, solutions, qui, monde, sûr, respectueux"
4,Data Analyst / BI,140,"intelligence, data, conseil, digital, performance, qui, projets, transformation, plus, expertise, solutions, autour, domaines, sommes-nous, success, story, mission, forte, valeur, ajoutée"
5,Data Analyst / BI,174,"médecin, soins, temps, société, rc, human, recruitmentprofession, recherchée, contrat, localisation, proche, établissement, client, généraliste, son, négocieretablissement, assure, clinique, missions, cdi"
6,Data Scientist / ML,226,"plus, domaines, défense, informations, générales, entité, rattachement, est, groupe, recherche, cea, service, transition, détail, offre, aéronautique, mission, safran, international, haute"
7,Cloud / DevOps Data,548,"vous, nos, médical, santé, appel, tant, transformer, que, est, clients, chez, expertise, besoins, établissement, carrière, qu, domaine, avons, accompagner, aimez"
8,Data Scientist / ML,157,"date, informations, générales, référence, début, catégorie, fonction, emploi, limite, fonctionnaires, obligatoires, trois, diffusion, titulaires, candidatures, poste, documents, publication, envoi, requis"
9,Data Scientist / ML,1219,"ia, vous, data, intelligence, artificielle, solutions, nos, est, projets, développement, modèles, équipe, missions, qui, learning, par, données, clients, sein, eacute"
10,Data Scientist / ML,4503,"est, plus, nos, we, our, data, qui, ai, vous, clients, groupe, par, entreprise, france, solutions, ses, que, description, services, conseil"
11,Data Analyst / BI,63,"nos, que, chez, transformation, leur, est, solutions, aujourd, hui, demain, capgemini, invent, norauto, plus, voiture, clients, tant, digitale, innovation, changement"
12,Quant / Finance,48,"we, our, mc2i, independent, consulting, firm, that, supports, its, key, clients, their, digital, transformation, projects, over, years, ve, been, active"
13,Data Analyst / BI,106,"leur, usagers, vous, transport, lundi, responsabilité, autonomie, assurez, priorité, est, donnée, quant, sécurité, secteur, accompagnement, respect, code, vendredi, route, ponctualité"
14,Software / Backend (data-related),75,"pme, gestion, est, tpe, développement, commercial, tissu, économique, français, composé, plus, coeur, cible, représentant, entreprises, france, sont, moteur, croissance, économie"
15,Software / Backend (data-related),174,"ans, externatic, est, recrutement, entreprises, esn, présentation, société, crée, il, 1ers, cabinets, spécialisés, informatique, data, cybersécurité, voir, jour, france, credo"
16,Data Analyst / BI,139,"groupe, crédit, agricole, est, projets, leurs, financement, développement, ses, nos, klanik, leur, banque, société, équipes, vente, son, informations, entité, générales"
17,Data Scientist / ML,889,"mon, mes, data, emploi, offres, cv, app, profil, offre, salaire, stage, recruteur, données, vous, missions, postulez, espace, candidatures, premiers, alertes"
18,Data Scientist / ML,115,"ai, our, mistral, we, designed, life, about, at, believe, power, simplify, tasks, save, time, enhance, learning, creativity, technology, integrate, seamlessly"
19,Data Analyst / BI,139,"we, our, job, mobility, global, anglais, solutions, one, company, people, about, all, meta, poste, more, vision, tech, data, worldwide, new"
20,Cloud / DevOps Data,120,"plus, thales, qui, avenir, nos, clients, chez, sommes, fiers, travailler, ensemble, imaginer, solutions, innovantes, contribuent, construire, sûr, vert, inclusif, confiance"
21,Data Analyst / BI,4575,"vous, équipe, missions, nos, est, clients, projets, développement, sein, poste, que, transformation, gestion, par, données, client, qui, recherche, mission, cadre"
22,Data Analyst / BI,140,"ses, clients, steria, sopra, vous, description, conseil, es, entreprise, groupe, est, grandes, tech, data, transformation, services, collaborateurs, solutions, activités, digitale"
23,Data Analyst / BI,101,"vous, est, courtier, prêts, immobiliers, nos, interrogez, suite, carrière, souhaitez, entreprendre, mais, pas, seul, arrêtez-vous, ici, offre, faite, statut, indépendant"
24,Data Engineer,2444,"data, données, vous, équipe, nos, que, missions, solutions, clients, projets, équipes, est, bi, métiers, analyse, engineer, poste, tant, sein, développement"
