skill_id;nom_skill;categorie
1;Python;langage
2;R;langage
3;SQL;langage
4;Scala;langage
5;Java;langage
6;Spark;framework
7;Hadoop;framework
8;TensorFlow;framework
9;PyTorch;framework
10;Scikit-learn;framework
11;Power BI;outil BI
12;Tableau;outil BI
13;Looker;outil BI
14;Machine Learning;concept
15;Deep Learning;concept
16;Statistiques;concept
17;Feature Engineering;concept
18;Data Visualization;concept
19;AWS;cloud
20;Azure;cloud
21;GCP;cloud
22;Docker;mlops
23;Kubernetes;mlops
24;Airflow;mlops
25;Git;mlops
26;Communication;softskill
27;Travail en équipe;softskill
28;Analyse;softskill
29;Résolution de problèmes;softskill
30;SQL avancé;langage
31;Excel;outil BI
32;NLP;concept
33;Time Series;concept
